NZ_CP010376,LI62_RS21080,4346817,4346014,LysR family transcriptional regulator,E00001
NZ_CP010376,LI62_RS00285,313,1707,chromosomal replication initiator protein DnaA,E00001
NZ_CP010376,LI62_RS00290,1712,2812,DNA polymerase III subunit beta,E00001
NZ_CP010376,LI62_RS00295,2812,3885,recombinase F,E00001
NZ_CP010376,LI62_RS00300,3914,6325,DNA gyrase subunit B,E00001
NZ_CP010376,LI62_RS00305,7294,6359,LysR family transcriptional regulator,E00001
NZ_CP010376,LI62_RS00310,7408,8433,alcohol dehydrogenase,E00001
NZ_CP010376,LI62_RS00315,8547,9359,phosphatase YidA,E00001
NZ_CP010376,LI62_RS00320,9586,10275,GntR family transcriptional regulator,E00001
NZ_CP010376,LI62_RS00325,10272,11150,2-oxo-3-deoxygalactonate kinase,E00001
NZ_CP010376,LI62_RS00330,11134,11751,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,E00001
NZ_CP010376,LI62_RS00335,11748,12896,galactonate dehydratase,E00001
NZ_CP010376,LI62_RS00340,13059,14351,glucarate transporter,E00001
NZ_CP010376,LI62_RS00345,14361,15632,hypothetical protein,E00001
NZ_CP010376,LI62_RS00350,15961,15629,hypothetical protein,E00001
NZ_CP010376,LI62_RS00355,16277,16687,heat shock protein IbpA,E00001
NZ_CP010376,LI62_RS00360,16824,17252,heat shock chaperone IbpB,E00001
NZ_CP010376,LI62_RS00365,17444,19105,transporter,E00001
NZ_CP010376,LI62_RS00370,19819,19073,GntR family transcriptional regulator,E00001
NZ_CP010376,LI62_RS00375,20042,21664,PTS family protein IIC,E00001
NZ_CP010376,LI62_RS00380,21661,22983,6-phospho-alpha-glucosidase,E00001
NZ_CP010376,LI62_RS00385,23076,23423,membrane protein,E00001
NZ_CP010376,LI62_RS00390,23413,23760,membrane protein,E00001
NZ_CP010376,LI62_RS00395,25129,23843,d-serine dehydratase,E00001
NZ_CP010376,LI62_RS00400,26484,25147,DsdX permease,E00001
NZ_CP010376,LI62_RS00405,26689,27615,D-serine deaminase transcriptional activator,E00001
NZ_CP010376,LI62_RS00410,29875,28691,multidrug resistance protein D,E00001
NZ_CP010376,LI62_RS00415,30884,30051,membrane protein,E00001
NZ_CP010376,LI62_RS00420,31393,30947,GCN5 family acetyltransferase,E00001
NZ_CP010376,LI62_RS00425,31440,31622,hypothetical protein,E00001
NZ_CP010376,LI62_RS00430,32034,32348,toxin RelE,E00001
NZ_CP010376,LI62_RS00435,32348,32764,putative transcription regulator containing HTH domain,E00001
NZ_CP010376,LI62_RS00440,33116,34804,acetolactate synthase isozyme 1 large subunit,E00001
NZ_CP010376,LI62_RS00445,34808,35095,"acetolactate synthase, small subunit",E00001
NZ_CP010376,LI62_RS00450,35221,35814,transcriptional regulator,E00001
NZ_CP010376,LI62_RS00455,35811,37316,sensory histidine kinase,E00001
NZ_CP010376,LI62_RS00460,37309,38619,regulatory protein UhpC,E00001
NZ_CP010376,LI62_RS00465,38752,40143,sugar phosphate antiporter,E00001
NZ_CP010376,LI62_RS00470,40314,41318,alpha/beta hydrolase,E00001
NZ_CP010376,LI62_RS00475,42208,41306,"transcriptional regulator, LysR family",E00001
NZ_CP010376,LI62_RS00480,42308,42760,hypothetical protein,E00001
NZ_CP010376,LI62_RS00485,42858,43376,polyketide cyclase,E00001
NZ_CP010376,LI62_RS00490,43478,44635,hypothetical protein,E00001
NZ_CP010376,LI62_RS00495,44845,46035,Arabinose efflux permease,E00001
NZ_CP010376,LI62_RS00500,46989,46084,membrane protein,E00001
NZ_CP010376,LI62_RS00505,48503,47124,LamB,E00001
NZ_CP010376,LI62_RS00510,48945,48640,PTS system lactose/cellobiose-specific transporter subunit IIA,E00001
NZ_CP010376,LI62_RS00515,50324,48948,beta-glucosidase,E00001
