1	PanOCT	fGI_INS	1	3347	.	+	.	Name=CL_INS_1; Note=450_5 4583_3; fGI_info=fGI_50;1
1	PanOCT	CL	3348	3628	.	+	.	Name= 450; Note= AraC family transcriptional regulator
1	PanOCT	CL	3629	3824	.	+	.	Name= 451; Note= lysine transporter LysE
1	PanOCT	CL	3825	4015	.	-	.	Name= 452; Note= transcriptional regulator
1	PanOCT	CL	4016	4584	.	-	.	Name= 453; Note= thiol:disulfide interchange protein precursor
1	PanOCT	CL	4585	4691	.	-	.	Name= 454; Note= divalent ion tolerance protein CutA
1	PanOCT	CL	4692	5124	.	-	.	Name= 455; Note= C4-dicarboxylate ABC transporter
1	PanOCT	CL	5125	5602	.	-	.	Name= 456; Note= aspartate ammonia-lyase
1	PanOCT	CL	5603	5756	.	+	.	Name= 457; Note= exclusion suppressor FxsA
1	PanOCT	CL	5757	6171	.	-	.	Name= 458; Note= transporter
1	PanOCT	CL	6172	6268	.	+	.	Name= 459; Note= co-chaperonin GroES
1	PanOCT	CL	6269	6816	.	+	.	Name= 460; Note= molecular chaperone GroEL
1	PanOCT	CL	6817	7203	.	-	.	Name= 461; Note= isoaspartyl dipeptidase
1	PanOCT	CL	7204	7356	.	-	.	Name= 462; Note= membrane protein
1	PanOCT	CL	7357	7571	.	-	.	Name= 463; Note= hypothetical protein
1	PanOCT	CL	7572	7688	.	+	.	Name= 464; Note= membrane protein
1	PanOCT	CL	7689	8030	.	-	.	Name= 465; Note= lysine 2,3-aminomutase
1	PanOCT	CL	8031	8218	.	+	.	Name= 466; Note= elongation factor P
1	PanOCT	CL	8219	8261	.	+	.	Name= 467; Note= putative small secreted protein
1	PanOCT	CL	8262	8309	.	+	.	Name= 468; Note= entericidin B membrane lipoprotein
1	PanOCT	CL	8310	8508	.	-	.	Name= 469; Note= LuxR family two-component system transcriptional regulator
1	PanOCT	CL	8509	8613	.	+	.	Name= 470; Note= multidrug transporter
1	PanOCT	CL	8614	8789	.	-	.	Name= 471; Note= membrane protein
1	PanOCT	CL	8790	9170	.	-	.	Name= 472; Note= CMY/LAT/MOX/ACT/MIR/FOX family class C beta-lactamase
1	PanOCT	CL	9171	9461	.	+	.	Name= 473; Note= HTH-type transcriptional activator AmpR
1	PanOCT	CL	9462	9580	.	-	.	Name= 474; Note= fumarate reductase subunit D
1	PanOCT	CL	9581	9711	.	-	.	Name= 475; Note= fumarate reductase subunit C
1	PanOCT	CL	9712	9955	.	-	.	Name= 476; Note= fumarate reductase iron-sulfur subunit
1	PanOCT	CL	9956	10551	.	-	.	Name= 477; Note= fumarate reductase flavoprotein subunit
1	PanOCT	CL	10552	10876	.	+	.	Name= 478; Note= lysyl-tRNA synthetase
1	PanOCT	CL	10877	11375	.	+	.	Name= 479; Note= amino acid ABC transporter permease
1	PanOCT	CL	11376	12482	.	-	.	Name= 480; Note= mechanosensitive channel protein
