1,LI62_RS00005,LI63_RS00295,LI64_RS22405,LI65_RS24545,LI66_RS24380,SR75_RS21995,SR68_RS19635,SR69_RS18380,,
2,LI62_RS00010,LI64_RS22400,LI66_RS24375,,,,,,,
3,LI62_RS00015,LI64_RS22395,,,,,,,,
4,LI62_RS00020,LI64_RS22390,LI66_RS24340,,,,,,,
5,LI62_RS00025,LI64_RS22385,LI66_RS24330,,,,,,,
6,LI62_RS00030,LI64_RS22380,LI66_RS24325,,,,,,,
7,LI62_RS00035,LI64_RS22375,LI66_RS24320,,,,,,,
8,LI62_RS00040,LI64_RS22370,LI66_RS24315,,,,,,,
9,LI62_RS00045,LI64_RS22365,LI66_RS24310,,,,,,,
10,LI62_RS00050,LI64_RS22360,LI66_RS24305,,,,,,,
11,LI62_RS00055,LI64_RS22355,LI66_RS24300,,,,,,,
12,LI62_RS00060,LI64_RS22350,LI66_RS24295,,,,,,,
13,LI62_RS00065,LI64_RS22590,LI66_RS24290,,,,,,,
14,LI62_RS00070,LI64_RS22585,LI66_RS24285,,,,,,,
15,LI62_RS00075,LI64_RS22580,LI66_RS24280,,,,,,,
16,LI62_RS00080,LI64_RS22575,LI66_RS24275,,,,,,,
17,LI62_RS00085,LI64_RS22570,LI66_RS24270,,,,,,,
18,LI62_RS00090,LI64_RS22565,LI66_RS24265,,,,,,,
19,LI62_RS00095,LI64_RS22560,LI66_RS24260,,,,,,,
20,LI62_RS00100,LI64_RS22555,LI66_RS24255,,,,,,,
21,LI62_RS00105,LI64_RS22550,LI66_RS24250,,,,,,,
22,LI62_RS00110,LI64_RS22545,LI66_RS24245,,,,,,,
23,LI62_RS00115,LI64_RS22540,LI66_RS24240,,,,,,,
24,LI62_RS00120,LI64_RS22535,LI66_RS24235,,,,,,,
25,LI62_RS00125,LI64_RS22530,LI66_RS24230,,,,,,,
26,LI62_RS00130,LI64_RS22525,LI66_RS24225,,,,,,,
27,LI62_RS00135,LI64_RS22520,LI66_RS24220,,,,,,,
28,LI62_RS00140,LI64_RS22515,LI66_RS24215,,,,,,,
29,LI62_RS00145,LI64_RS22510,LI66_RS24210,,,,,,,
30,LI62_RS00150,LI64_RS22505,LI66_RS24205,,,,,,,
31,LI62_RS00155,LI64_RS22500,LI66_RS24200,,,,,,,
32,LI62_RS00160,LI64_RS22495,LI66_RS24195,,,,,,,
33,LI62_RS00165,LI64_RS22490,,,,,,,,
34,LI62_RS00170,LI64_RS22485,,,,,,,,
35,LI62_RS00175,LI64_RS22480,LI66_RS24370,,,,,,,
36,LI62_RS00180,LI64_RS22475,LI66_RS24365,SR75_RS21845,SR68_RS19140,SR69_RS17890,,,,
37,LI62_RS00185,LI64_RS22470,LI66_RS24360,,,,,,,
38,LI62_RS00190,LI64_RS22465,LI66_RS24355,,,,,,,
39,LI62_RS00195,LI64_RS22460,LI66_RS24350,,,,,,,
40,LI62_RS00200,LI64_RS22455,LI66_RS24345,,,,,,,
41,LI62_RS00205,LI63_RS00360,LI64_RS22450,LI65_RS25040,LI66_RS24190,SR75_RS22055,SR76_RS05880,SR68_RS19700,SR69_RS18445,
42,LI62_RS00210,LI63_RS00335,LI64_RS22445,LI66_RS24185,SR75_RS22030,SR76_RS05885,SR68_RS19675,SR69_RS18420,,
43,LI62_RS00215,LI63_RS00330,LI64_RS22440,LI65_RS25050,LI66_RS24180,SR75_RS22025,SR76_RS05890,SR68_RS19670,SR69_RS18415,
44,LI62_RS00220,LI63_RS00325,LI64_RS22435,LI65_RS24480,LI66_RS24175,SR75_RS22020,SR68_RS19665,SR69_RS18410,,
45,LI62_RS00225,LI63_RS00320,LI64_RS22430,LI65_RS24485,LI66_RS24170,SR75_RS22015,SR68_RS19660,SR69_RS18405,,
46,LI62_RS00230,LI63_RS00315,LI64_RS22425,LI66_RS24165,SR75_RS22010,SR68_RS19655,SR69_RS18400,,,
47,LI62_RS00235,LI63_RS00310,LI64_RS22420,LI65_RS24530,LI66_RS24390,SR75_RS22005,SR68_RS19650,SR69_RS18395,,
48,LI62_RS00240,LI64_RS22415,LI65_RS24535,,,,,,,
49,LI62_RS00245,LI63_RS00300,LI64_RS22410,LI65_RS24540,LI66_RS24385,SR75_RS22000,SR68_RS19640,SR69_RS18385,,
50,LI62_RS00255,,,,,,,,,
51,LI62_RS00260,,,,,,,,,
52,LI62_RS00265,SR76_RS16300,,,,,,,,
53,LI62_RS00270,,,,,,,,,
54,LI62_RS00275,,,,,,,,,
55,LI62_RS00280,,,,,,,,,
56,LI62_RS00285,LI63_RS23940,LI64_RS00005,LI65_RS02315,LI66_RS00005,SR65_RS05820,SR75_RS14360,SR76_RS17605,SR68_RS10060,SR69_RS11050
57,LI62_RS00290,LI63_RS23935,LI64_RS00010,LI65_RS02310,LI66_RS00010,SR65_RS05825,SR75_RS14355,SR76_RS17600,SR68_RS10055,SR69_RS11045
58,LI62_RS00295,LI63_RS23930,LI64_RS00015,LI65_RS02305,LI66_RS00015,SR65_RS05830,SR75_RS14350,SR76_RS17595,SR68_RS10050,SR69_RS11040
59,LI62_RS00300,LI63_RS23925,LI64_RS00020,LI65_RS02300,LI66_RS00020,SR65_RS05835,SR75_RS14345,SR76_RS17590,SR68_RS10045,SR69_RS11035
60,LI62_RS00305,LI63_RS23920,LI65_RS02295,LI66_RS00025,SR65_RS05840,SR75_RS14340,SR76_RS17585,SR68_RS10040,SR69_RS11030,
61,LI62_RS00310,LI63_RS23915,LI65_RS02290,LI66_RS00030,SR65_RS05845,SR75_RS14335,SR76_RS17580,SR68_RS10035,SR69_RS11025,
62,LI62_RS00315,LI63_RS23910,LI64_RS00055,LI65_RS02285,LI66_RS00035,SR65_RS05850,SR75_RS14330,SR76_RS17575,SR68_RS10030,SR69_RS11020
63,LI62_RS00320,LI63_RS23905,LI64_RS00060,LI65_RS02280,LI66_RS00040,SR75_RS14325,SR76_RS17570,SR68_RS10025,SR69_RS11015,
64,LI62_RS00325,LI63_RS23900,LI64_RS00065,LI65_RS02275,LI66_RS00045,SR75_RS14320,SR76_RS17565,SR68_RS10020,SR69_RS11010,
65,LI62_RS00330,LI63_RS23895,LI64_RS00070,LI65_RS02270,LI66_RS00050,SR75_RS14315,SR76_RS17560,SR68_RS10015,SR69_RS11005,
66,LI62_RS00335,LI63_RS23890,LI64_RS00075,LI65_RS02265,LI66_RS00055,SR75_RS14310,SR76_RS17555,SR68_RS10010,SR69_RS11000,
67,LI62_RS00340,LI63_RS23885,LI64_RS00080,LI65_RS02260,LI66_RS00060,SR75_RS14305,SR76_RS17550,SR68_RS10005,SR69_RS10995,
68,LI62_RS00345,LI63_RS23880,LI64_RS00085,LI65_RS02255,LI66_RS00065,SR65_RS05855,SR75_RS14300,SR76_RS17545,SR68_RS10000,SR69_RS10990
69,LI62_RS00350,LI63_RS23875,LI64_RS00090,LI65_RS02250,LI66_RS00070,SR65_RS05860,SR75_RS14295,SR76_RS17540,SR68_RS09995,SR69_RS10985
70,LI62_RS00355,LI63_RS23870,LI64_RS00095,LI65_RS02245,LI66_RS00075,SR65_RS05865,SR75_RS14290,SR76_RS17535,SR68_RS09990,SR69_RS10980
71,LI62_RS00360,LI63_RS23865,LI64_RS00100,LI65_RS02240,LI66_RS00080,SR65_RS05870,SR75_RS14285,SR76_RS17530,SR68_RS09985,SR69_RS10975
72,LI62_RS00365,LI63_RS23860,LI64_RS00105,LI65_RS02235,LI66_RS00085,SR65_RS05875,SR75_RS14280,SR76_RS17525,SR68_RS09980,SR69_RS10970
73,LI62_RS00370,LI63_RS23855,LI64_RS00130,LI65_RS02230,LI66_RS00090,SR65_RS05880,SR75_RS14275,SR76_RS17500,SR68_RS09975,SR69_RS10965
74,LI62_RS00375,LI63_RS23850,LI64_RS00135,LI65_RS02225,LI66_RS00095,SR65_RS05885,SR75_RS14270,SR76_RS17495,SR68_RS09970,SR69_RS10960
75,LI62_RS00380,LI63_RS23845,LI64_RS00140,LI65_RS02220,LI66_RS00100,SR65_RS05890,SR75_RS14265,SR76_RS17490,SR68_RS09965,SR69_RS10955
76,LI62_RS00385,LI63_RS23840,LI64_RS00145,LI65_RS02200,LI66_RS00105,SR65_RS05895,SR75_RS14260,SR76_RS17470,SR68_RS09960,SR69_RS10950
77,LI62_RS00390,LI63_RS23835,LI64_RS00150,LI65_RS02195,LI66_RS00110,SR65_RS05900,SR75_RS14255,SR76_RS17465,SR68_RS09955,SR69_RS10945
78,LI62_RS00395,LI63_RS23830,LI64_RS00160,LI65_RS02185,LI66_RS00115,SR65_RS05905,SR75_RS14250,SR76_RS17455,SR68_RS09950,SR69_RS10940
79,LI62_RS00400,LI63_RS23825,LI65_RS02180,LI66_RS00120,SR65_RS05910,SR75_RS14245,SR76_RS17450,SR68_RS09945,SR69_RS10935,
80,LI62_RS00405,LI63_RS23820,LI65_RS02175,LI66_RS00125,SR65_RS05915,SR75_RS14240,SR76_RS17445,SR68_RS09940,SR69_RS10930,
81,LI62_RS00410,LI63_RS23815,LI64_RS00175,LI65_RS02170,LI66_RS00130,SR65_RS05925,SR75_RS14235,SR76_RS17440,SR68_RS09935,SR69_RS10925
82,LI62_RS00415,LI63_RS23810,LI64_RS00180,LI65_RS02165,LI66_RS00135,SR65_RS05930,SR75_RS14230,SR76_RS17435,SR68_RS09930,SR69_RS10920
83,LI62_RS00420,LI63_RS23805,LI64_RS00185,LI65_RS02160,LI66_RS00140,SR65_RS05935,SR75_RS14225,SR76_RS17430,SR68_RS09925,SR69_RS10915
84,LI62_RS00425,LI63_RS23800,LI64_RS00190,LI65_RS02155,LI66_RS00145,SR65_RS05940,SR75_RS14220,SR76_RS17425,SR68_RS09920,SR69_RS10910
85,LI62_RS00430,,,,,,,,,
86,LI62_RS00435,LI64_RS00195,,,,,,,,
87,LI62_RS00440,LI63_RS23780,LI64_RS00200,LI65_RS02135,LI66_RS00165,SR65_RS05945,SR75_RS14200,SR76_RS17405,SR68_RS09900,SR69_RS10890
88,LI62_RS00445,LI63_RS23775,LI64_RS00205,LI65_RS02130,LI66_RS00170,SR65_RS05950,SR75_RS14195,SR76_RS17400,SR68_RS09895,SR69_RS10885
89,LI62_RS00450,LI63_RS23770,LI64_RS00210,LI65_RS02125,LI66_RS00175,SR65_RS05955,SR75_RS14190,SR76_RS17395,SR68_RS09890,SR69_RS10880
90,LI62_RS00455,LI63_RS23765,LI64_RS00215,LI65_RS02120,LI66_RS00180,SR65_RS05960,SR75_RS14185,SR76_RS17390,SR68_RS09885,SR69_RS10875
91,LI62_RS00460,LI63_RS23760,LI64_RS00220,LI65_RS02115,LI66_RS00185,SR65_RS05965,SR75_RS14180,SR76_RS17385,SR68_RS09880,SR69_RS10870
92,LI62_RS00465,LI63_RS23755,LI64_RS00225,LI65_RS02110,LI66_RS00190,SR65_RS05970,SR75_RS14175,SR76_RS17380,SR68_RS09875,SR69_RS10865
93,LI62_RS00470,LI63_RS23750,LI64_RS00230,LI65_RS02105,LI66_RS00195,SR75_RS14170,SR76_RS17375,SR68_RS09870,SR69_RS10860,
94,LI62_RS00475,LI63_RS23745,LI65_RS02100,LI66_RS00200,SR75_RS14165,SR76_RS17370,SR68_RS09865,SR69_RS10855,,
95,LI62_RS00480,LI63_RS23740,LI64_RS00235,LI65_RS02095,LI66_RS00205,SR65_RS05975,SR75_RS14160,SR76_RS17365,SR68_RS09860,SR69_RS10850
96,LI62_RS00485,LI63_RS23735,LI65_RS02090,LI66_RS00210,SR75_RS14155,SR76_RS17360,SR68_RS09855,SR69_RS10845,,
97,LI62_RS00490,LI64_RS18960,SR76_RS16290,,,,,,,
98,LI62_RS00495,LI63_RS23730,LI64_RS00275,LI65_RS02085,LI66_RS00215,SR65_RS05980,SR75_RS14150,SR76_RS17355,SR68_RS09850,SR69_RS10840
99,LI62_RS00500,LI63_RS23725,LI64_RS00280,LI65_RS02080,LI66_RS00220,SR65_RS05985,SR75_RS14145,SR76_RS17350,SR68_RS09845,SR69_RS10835
100,LI62_RS00505,LI63_RS23720,LI64_RS00285,LI65_RS02075,LI66_RS00225,SR65_RS05990,SR75_RS14140,SR76_RS17345,SR68_RS09840,SR69_RS10830
101,LI62_RS00510,LI63_RS23715,LI64_RS00290,LI65_RS02070,LI66_RS00230,SR65_RS05995,SR75_RS14135,SR76_RS17340,SR68_RS09835,SR69_RS10825
102,LI62_RS00515,LI63_RS23710,LI64_RS00295,LI65_RS02065,LI66_RS00235,SR65_RS06000,SR75_RS14130,SR76_RS17335,SR68_RS09830,SR69_RS10820
103,LI62_RS00520,LI63_RS23705,LI64_RS00300,LI65_RS02060,LI66_RS00240,SR65_RS06005,SR75_RS14125,SR76_RS17330,SR68_RS09825,SR69_RS10815
104,LI62_RS00525,LI63_RS23700,LI64_RS00305,LI65_RS02055,LI66_RS00245,SR65_RS06010,SR75_RS14120,SR76_RS17325,SR68_RS09820,SR69_RS10810
105,LI62_RS00530,LI63_RS23695,LI64_RS00310,LI65_RS02050,LI66_RS00250,SR65_RS06015,SR75_RS14115,SR76_RS17320,SR68_RS09815,SR69_RS10805
106,LI62_RS00535,LI63_RS23690,LI64_RS00315,LI65_RS02045,LI66_RS00255,SR65_RS06020,SR75_RS14110,SR76_RS17315,SR68_RS09810,SR69_RS10800
107,LI62_RS00540,LI63_RS23685,LI65_RS02040,LI66_RS00260,SR75_RS14105,SR76_RS17310,SR68_RS09805,SR69_RS10795,,
108,LI62_RS00545,LI63_RS23680,LI65_RS02035,LI66_RS00265,SR75_RS14100,SR76_RS17305,SR68_RS09800,SR69_RS10790,,
109,LI62_RS00550,LI63_RS23675,LI65_RS02030,LI66_RS00270,SR75_RS14095,SR76_RS17300,SR68_RS09795,SR69_RS10785,,
110,LI62_RS00555,LI63_RS23670,LI65_RS02025,LI66_RS00275,SR75_RS14090,SR76_RS17295,SR68_RS09790,SR69_RS10780,,
111,LI62_RS00560,LI63_RS23665,LI65_RS02020,LI66_RS00280,SR75_RS14085,SR76_RS17290,SR68_RS09785,SR69_RS10775,,
112,LI62_RS00565,LI63_RS23660,LI64_RS00320,LI65_RS02015,LI66_RS00285,SR65_RS06025,SR75_RS14080,SR76_RS17285,SR68_RS09780,SR69_RS10770
113,LI62_RS00570,LI63_RS23655,LI64_RS00325,LI65_RS02010,LI66_RS00290,SR75_RS14075,SR76_RS17280,SR68_RS09775,SR69_RS10765,
114,LI62_RS00575,LI63_RS23650,LI64_RS00330,LI65_RS02005,LI66_RS00295,SR75_RS14070,SR76_RS17275,SR68_RS09770,SR69_RS10760,
115,LI62_RS00580,LI63_RS23645,LI64_RS00350,LI65_RS02000,LI66_RS00300,SR75_RS14065,SR76_RS17270,SR68_RS09765,SR69_RS10755,
116,LI62_RS00585,LI63_RS23640,LI64_RS00355,LI65_RS01995,LI66_RS00305,SR75_RS14060,SR76_RS17265,SR68_RS09760,SR69_RS10750,
117,LI62_RS00590,LI63_RS23635,LI64_RS00360,LI65_RS01990,LI66_RS00310,SR75_RS14055,SR76_RS17260,SR68_RS09755,SR69_RS10745,
118,LI62_RS00595,LI63_RS23630,LI64_RS00365,LI65_RS01985,LI66_RS00315,SR75_RS14050,SR76_RS17255,SR68_RS09750,SR69_RS10740,
119,LI62_RS00600,LI63_RS23625,LI64_RS00370,LI65_RS01980,LI66_RS00320,SR75_RS14045,SR76_RS17250,SR68_RS09745,SR69_RS10735,
120,LI62_RS00605,LI63_RS23620,LI65_RS01975,LI66_RS00325,SR75_RS14040,SR68_RS09740,SR69_RS10730,,,
121,LI62_RS00610,LI63_RS23615,LI64_RS00380,LI65_RS01970,LI66_RS00330,SR75_RS14035,SR76_RS17240,SR68_RS09735,SR69_RS10725,
122,LI62_RS00615,LI63_RS23610,LI64_RS00385,LI65_RS01965,LI66_RS00335,SR75_RS14030,SR76_RS17235,SR68_RS09730,SR69_RS10720,
123,LI62_RS00620,LI63_RS23605,LI64_RS00390,LI65_RS01960,LI66_RS00340,SR75_RS14025,SR76_RS17230,SR68_RS09725,SR69_RS10715,
124,LI62_RS00625,LI63_RS23600,LI64_RS00395,LI65_RS01955,LI66_RS00345,SR75_RS14020,SR76_RS17225,SR68_RS09720,SR69_RS10710,
125,LI62_RS00630,LI63_RS23595,LI64_RS00400,LI65_RS01950,LI66_RS00350,SR75_RS14015,SR76_RS17220,SR68_RS09715,SR69_RS10705,
126,LI62_RS00635,LI63_RS23590,LI64_RS00405,LI65_RS01945,LI66_RS00355,SR75_RS14010,SR76_RS17215,SR68_RS09710,SR69_RS10700,
127,LI62_RS00640,LI63_RS23585,LI64_RS00410,LI65_RS01940,LI66_RS00360,SR75_RS14005,SR76_RS17210,SR68_RS09705,SR69_RS10695,
128,LI62_RS00645,LI63_RS23580,LI64_RS00415,LI65_RS01935,LI66_RS00365,SR75_RS14000,SR76_RS17205,SR68_RS09700,SR69_RS10690,
129,LI62_RS00650,LI63_RS23575,LI64_RS00420,LI65_RS01930,LI66_RS00370,SR75_RS13995,SR76_RS17200,SR68_RS09695,SR69_RS10685,
130,LI62_RS00655,LI63_RS23570,LI64_RS00425,LI65_RS01925,LI66_RS00375,SR75_RS13990,SR76_RS17195,SR68_RS09690,SR69_RS10680,
131,LI62_RS00660,LI63_RS23565,LI64_RS00430,LI65_RS01920,LI66_RS00380,SR75_RS13985,SR76_RS17190,SR68_RS09685,SR69_RS10675,
132,LI62_RS00665,LI63_RS23560,LI64_RS00435,LI65_RS01915,LI66_RS00385,SR75_RS13980,SR68_RS09680,SR69_RS10670,,
133,LI62_RS00670,LI63_RS23555,LI64_RS00440,LI65_RS01910,LI66_RS00390,SR75_RS13975,SR76_RS17180,SR68_RS09675,SR69_RS10665,
