1,CL_INS_1,1,10041,fGI_50;1,fGI,3347
1,CL_450,10042,10884,AraC family transcriptional regulator,CL,281
1,CL_451,10885,11472,lysine transporter LysE,CL,196
1,CL_452,12045,11473,transcriptional regulator,CL,191
1,CL_453,13752,12046,thiol:disulfide interchange protein precursor,CL,569
1,CL_454,14073,13753,divalent ion tolerance protein CutA,CL,107
1,CL_455,15372,14074,C4-dicarboxylate ABC transporter,CL,433
1,CL_456,16806,15373,aspartate ammonia-lyase,CL,478
1,CL_457,16807,17268,exclusion suppressor FxsA,CL,154
1,CL_458,18513,17269,transporter,CL,415
1,CL_459,18514,18804,co-chaperonin GroES,CL,97
1,CL_460,18805,20448,molecular chaperone GroEL,CL,548
1,CL_461,21609,20449,isoaspartyl dipeptidase,CL,387
1,CL_462,22068,21610,membrane protein,CL,153
1,CL_463,22713,22069,hypothetical protein,CL,215
1,CL_464,22714,23064,membrane protein,CL,117
1,CL_465,24090,23065,"lysine 2,3-aminomutase",CL,342
1,CL_466,24091,24654,elongation factor P,CL,188
1,CL_467,24655,24783,putative small secreted protein,CL,43
1,CL_468,24784,24927,entericidin B membrane lipoprotein,CL,48
1,CL_469,25524,24928,LuxR family two-component system transcriptional regulator,CL,199
1,CL_470,25525,25839,multidrug transporter,CL,105
1,CL_471,26367,25840,membrane protein,CL,176
1,CL_472,27510,26368,CMY/LAT/MOX/ACT/MIR/FOX family class C beta-lactamase,CL,381
1,CL_473,27511,28383,HTH-type transcriptional activator AmpR,CL,291
1,CL_474,28740,28384,fumarate reductase subunit D,CL,119
1,CL_475,29133,28741,fumarate reductase subunit C,CL,131
1,CL_476,29865,29134,fumarate reductase iron-sulfur subunit,CL,244
1,CL_477,31653,29866,fumarate reductase flavoprotein subunit,CL,596
1,CL_478,31654,32628,lysyl-tRNA synthetase,CL,325
1,CL_479,32629,34125,amino acid ABC transporter permease,CL,499
1,CL_480,37446,34126,mechanosensitive channel protein,CL,1107
1,CL_481,38412,37447,phosphatidylserine decarboxylase,CL,322
1,CL_482,39462,38413,GTPase RsgA,CL,350
1,CL_483,39463,40005,oligoribonuclease,CL,181
1,CL_484,41142,40006,iron-sulfur cluster binding protein,CL,379
1,CL_485,41143,42663,carbohydrate kinase,CL,507
1,CL_486,42664,43122,ADP-binding protein,CL,153
1,CL_487,43123,44460,N-acetylmuramoyl-L-alanine amidase,CL,446
1,CL_488,44461,46302,DNA mismatch repair protein,CL,614
1,CL_489,46303,47250,tRNA delta(2)-isopentenylpyrophosphate transferase,CL,316
1,CL_490,47251,47559,RNA-binding protein Hfq,CL,103
1,CL_491,47560,48837,GTPase HflX,CL,426
1,CL_492,48838,50094,cell division protein FtsH,CL,419
1,CL_493,50095,51096,cell division protein FtsH,CL,334
1,CL_494,51097,51291,membrane protein,CL,65
1,CL_495,51292,52587,adenylosuccinate synthetase,CL,432
